City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Talnakh,69.4865,88.3972,-25.26,82,4,1.79,RU,1610233009
Nantucket,41.2835,-70.0995,33.8,80,90,20.71,US,1610232867
Sørland,67.667,12.6934,36.23,81,100,22.15,NO,1610233063
Anadyr,64.75,177.4833,-29.0,68,20,8.95,RU,1610233063
Russell,32.3502,-85.1999,39.2,65,90,11.5,US,1610233064
Raudeberg,61.9875,5.1352,33.01,89,100,23.04,NO,1610233064
Krasnogvardeyskiy,57.3793,62.3195,-6.59,91,91,6.02,RU,1610233065
Wanning,18.8003,110.3967,57.78,80,95,12.08,CN,1610233065
Zavyalovo,54.5053,82.4484,6.8,61,0,11.18,RU,1610233066
Malvern,34.3623,-92.813,44.6,45,1,3.44,US,1610233067
Mount Gambier,-37.8333,140.7667,66.2,72,12,5.75,AU,1610233017
Kirakira,-10.4544,161.9205,84.51,72,98,5.64,SB,1610233068
Taganak,6.0833,118.3,75.2,100,40,4.61,PH,1610233068
College,64.8569,-147.8028,12.2,79,90,5.75,US,1610233069
Mbala,-8.8402,31.3659,59.27,94,99,3.53,ZM,1610233069
Isangel,-19.55,169.2667,86.0,79,75,3.44,VU,1610233012
Beni Mazar,28.4962,30.8029,57.4,55,0,9.86,EG,1610233070
Cañon City,38.441,-105.2424,30.2,93,90,5.28,US,1610233071
Meylan,45.2199,5.7901,32.0,85,86,1.99,FR,1610233071
Belyy Yar,53.6039,91.3903,12.2,52,0,11.18,RU,1610233072
São João da Barra,-21.6403,-41.0511,77.43,89,38,12.93,BR,1610233072
Bambuí,-20.0064,-45.9769,74.25,87,83,5.57,BR,1610233073
Pevek,69.7008,170.3133,-23.49,88,47,2.93,RU,1610232904
Lata,40.1629,-8.3327,43.0,68,94,5.01,PT,1610233073
Sistranda,63.7256,8.834,35.6,80,40,17.27,NO,1610233074
Liverpool,53.4106,-2.9779,36.0,86,0,6.91,GB,1610232962
Kangayam,11.0,77.5667,71.46,93,99,4.94,IN,1610233075
Ilo,-17.6394,-71.3375,70.43,77,51,5.91,PE,1610233075
Atambua,-9.1061,124.8925,76.6,87,100,1.34,ID,1610233076
Leningradskiy,69.3833,178.4167,-21.32,85,48,5.01,RU,1610232983
Viedma,-40.8135,-62.9967,87.01,15,0,10.0,AR,1610233076
Conceição do Araguaia,-8.2578,-49.2647,78.91,77,100,3.96,BR,1610233077
Beihai,21.4833,109.1,48.36,51,100,11.68,CN,1610233077
Mastung,29.7994,66.845,30.99,78,0,1.88,PK,1610233078
Kirando,-7.4167,30.6,70.23,82,97,4.43,TZ,1610233078
Artyom,40.4723,50.333,51.8,46,0,20.71,AZ,1610233079
Haines Junction,60.7522,-137.5108,21.2,86,100,1.99,CA,1610233069
Maracaibo,10.6317,-71.6406,80.85,72,98,6.58,VE,1610233080
Sorong,-0.8833,131.25,81.27,79,91,5.17,ID,1610233081
Abéché,13.8292,20.8324,70.9,22,0,14.76,TD,1610233028
Bahir Dar,11.5936,37.3908,58.93,62,15,3.62,ET,1610233082
Bathsheba,13.2167,-59.5167,78.8,78,40,17.27,BB,1610233032
Aragarças,-15.8975,-52.2508,76.35,79,59,1.34,BR,1610233083
Otane,-39.8833,176.6333,73.99,67,99,8.01,NZ,1610233084
Lakatoro,-16.0999,167.4164,85.91,67,94,2.46,VU,1610233084
State College,40.7934,-77.86,34.0,65,3,3.0,US,1610233085
Tambun,-6.2641,107.0712,78.01,88,40,5.75,ID,1610233085
Shubarkuduk,49.1447,56.4872,22.91,93,99,11.92,KZ,1610233086
Laureles,26.1092,-97.4941,63.0,80,100,5.01,US,1610233086
Taoudenni,22.6783,-3.9836,71.17,40,71,13.47,ML,1610233087
Itoman,26.1247,127.6694,55.4,67,75,21.85,JP,1610233087
Plouzané,48.3833,-4.6167,35.6,75,0,11.5,FR,1610233007
Carballo,43.213,-8.691,42.8,87,40,10.36,ES,1610233036
Kenai,60.5544,-151.2583,30.99,86,90,19.57,US,1610233088
Nioro,13.35,-15.75,77.2,32,0,11.95,GM,1610233089
Baharly,38.4362,57.4316,38.95,62,0,3.58,TM,1610233089
Walvis Bay,-22.9575,14.5053,68.0,77,100,9.22,NA,1610233090
Eirunepé,-6.6603,-69.8736,78.64,83,95,2.13,BR,1610233091
Arrondissement de Lannion,48.75,-3.4167,37.4,70,0,6.91,FR,1610233091
Sisimiut,66.9395,-53.6735,21.31,88,100,9.37,GL,1610233091
Hammerfest,70.6634,23.6821,21.2,63,19,19.57,NO,1610233092
Mānsa,29.9833,75.3833,49.3,53,0,5.73,IN,1610233092
Nome,64.5011,-165.4064,-5.8,71,1,14.97,US,1610233093
San Pedro de Ycuamandiyú,-24.0917,-57.0764,74.97,96,88,4.23,PY,1610233093
Izumo,35.3667,132.7667,30.2,93,75,12.66,JP,1610233094
Marrakesh,31.6315,-8.0083,46.4,87,75,11.5,MA,1610233094
Kolomak,49.8399,35.3044,29.46,95,80,11.1,UA,1610233095
Centenário do Sul,-22.8211,-51.5953,77.07,80,12,7.0,BR,1610233095
Anaco,9.4389,-64.4728,74.79,86,27,5.28,VE,1610233037
Port Hardy,50.6996,-127.4199,42.8,87,90,31.07,CA,1610233096
Bobo-Dioulasso,11.1771,-4.2979,84.2,32,0,1.01,BF,1610233096
Kongolo,-5.3833,27.0,67.14,94,65,1.01,CD,1610233097
Jiblah,13.9216,44.1467,53.11,64,5,2.62,YE,1610233097
General Roca,-39.0333,-67.5833,86.0,10,0,18.41,AR,1610233098
Timberlake,37.3207,-79.2575,46.4,27,1,5.75,US,1610233098
Maravatío de Ocampo,19.9,-100.45,70.0,49,30,5.99,MX,1610233099
Pontianak,-0.0333,109.3333,77.0,94,75,3.44,ID,1610233099
Inta,66.0317,60.1659,-4.52,89,0,7.49,RU,1610233100
Heishan,41.6892,122.1128,9.21,86,98,6.78,CN,1610233100
Gold Coast,-28.0,153.4333,77.0,83,90,14.97,AU,1610233101
Agadez,19.75,10.25,70.25,22,0,7.2,NE,1610233101
Shimoda,34.6667,138.95,33.01,60,0,1.99,JP,1610233102
Marneuli,41.4759,44.8089,41.0,48,0,12.66,GE,1610233102
Najrān,17.4924,44.1277,51.8,40,0,2.53,SA,1610233032
Okato,-39.2,173.8833,66.0,79,93,5.99,NZ,1610233103
Beïnamar,8.6698,15.3813,74.71,20,100,3.67,TD,1610233104
Fayaoué,-20.65,166.5333,78.6,89,100,14.94,NC,1610233105
Tazovsky,67.4667,78.7,-23.57,86,17,9.26,RU,1610233105
Aktau,43.65,51.2,35.6,64,90,11.18,KZ,1610233105
Tessalit,20.1986,1.0114,70.79,21,0,5.73,ML,1610233106
Cidreira,-30.1811,-50.2056,77.59,82,0,15.97,BR,1610233106
Finnsnes,69.2296,17.9811,19.4,63,8,9.22,NO,1610233107
Batticaloa,7.7102,81.6924,74.32,93,100,9.01,LK,1610233107
Ulladulla,-35.35,150.4667,73.99,64,0,8.05,AU,1610233108
Kununurra,-15.7667,128.7333,84.2,94,0,4.61,AU,1610233108
Cabedelo,-6.9811,-34.8339,80.6,74,0,9.22,BR,1610233108
Pershotravneve,51.3929,28.8684,28.85,98,88,9.42,UA,1610233109
Bom Jesus,-9.0744,-44.3586,79.57,62,75,1.66,BR,1610233109
Kulunda,52.566,78.9385,5.81,89,100,15.68,RU,1610233110
Road Town,18.4167,-64.6167,79.0,73,20,6.91,VG,1610232926
Umluj,25.0213,37.2685,74.35,57,0,5.23,SA,1610233111
Vysokoye,52.3709,23.3708,28.0,87,89,1.01,BY,1610233112
Lāsalgaon,20.15,74.2333,69.48,81,66,5.99,IN,1610233112
Rumoi,43.9344,141.6428,18.86,95,92,17.16,JP,1610233113
Ifakara,-8.1333,36.6833,72.64,93,100,0.56,TZ,1610233113
Honningsvåg,70.9821,25.9704,23.22,93,4,28.66,NO,1610233113
Tupik,54.4253,119.9327,-18.74,83,50,2.15,RU,1610233114
Amahai,-3.3333,128.9167,81.39,78,92,3.4,ID,1610233114
Vila Franca do Campo,37.7167,-25.4333,53.6,58,40,5.75,PT,1610233115
Gravdal,68.1214,13.5031,33.03,87,100,18.07,NO,1610233115
Wajima,37.4,136.9,31.37,94,100,15.35,JP,1610233116
Saint George,37.1041,-113.5841,53.6,28,1,14.97,US,1610232836
Ostrovnoy,68.0531,39.5131,5.56,91,87,10.09,RU,1610233038
Moose Factory,51.2585,-80.6094,23.0,93,90,5.75,CA,1610233117
Smiths Falls,44.9001,-76.0161,25.0,69,100,7.54,CA,1610233118
Kyrksæterøra,63.2906,9.0891,35.6,80,40,17.27,NO,1610233118
Alice Springs,-23.7,133.8833,80.6,29,0,2.3,AU,1610232968
Whitehorse,60.7161,-135.0538,24.8,80,75,17.27,CA,1610232990
Gao,16.6362,1.637,76.23,17,14,8.12,ML,1610233120
Gien,47.6933,2.6309,30.99,96,0,3.0,FR,1610233120
Provincia di Campobasso,41.6333,14.5833,43.0,97,99,3.18,IT,1610233121
Foxton,-40.4667,175.3,71.01,76,99,5.01,NZ,1610233121
Dawei,14.0833,98.2,67.64,67,8,4.72,MM,1610233122
Hurricane,37.1753,-113.2899,53.6,36,1,13.8,US,1610232994
Midland,31.9974,-102.0779,35.6,100,90,13.8,US,1610233020
Mahon,39.8885,4.2658,53.6,76,75,17.27,ES,1610233124
Doha,25.2867,51.5333,62.6,63,0,4.61,QA,1610232871
Dingle,10.9995,122.6711,75.04,91,99,12.95,PH,1610233019
Bilma,18.6853,12.9164,66.15,26,0,2.08,NE,1610233125
Ürümqi,43.801,87.6005,-0.4,85,37,2.24,CN,1610233125
Kislyakovskaya,46.4417,39.675,38.03,78,100,10.07,RU,1610233126
Havøysund,70.9963,24.6622,21.2,63,16,19.57,NO,1610233126
Esim,4.8699,-2.2405,79.25,86,37,8.25,GH,1610233127
Homer,59.6425,-151.5483,35.6,75,90,6.91,US,1610233127
Zhelyabovka,45.3988,34.7578,33.24,90,92,4.27,UA,1610233128
Kortkeros,61.8106,51.5806,14.0,92,40,6.71,RU,1610233129
Monte Patria,-30.6919,-70.9467,76.08,28,0,7.07,CL,1610233129
Nuuk,64.1835,-51.7216,28.4,64,75,7.7,GL,1610233130
Gemeente Enkhuizen,52.7,5.2833,35.01,79,37,1.01,NL,1610233130
Manggar,-2.8833,108.2667,78.12,85,96,12.82,ID,1610233130
Beloha,-25.1667,45.05,76.6,82,0,7.29,MG,1610233131
Kokoda,-8.8785,147.7407,81.09,65,100,1.79,PG,1610233131
Koungou,-12.7336,45.2042,77.0,78,20,8.05,YT,1610233132
Atar,20.5169,-13.0499,62.67,40,20,12.33,MR,1610233133
Nuquí,5.7125,-77.2708,77.14,83,97,6.08,CO,1610233133
Karratha,-20.7377,116.8463,93.11,37,43,12.01,AU,1610232986
Bushenyi,-0.5853,30.2114,61.38,93,99,2.37,UG,1610233134
Kloulklubed,7.0419,134.2556,77.0,94,75,9.08,PW,1610233135
Nava,28.4167,-100.7667,46.4,71,90,5.75,MX,1610233135
Aktobe,50.2797,57.2072,19.4,73,0,8.95,KZ,1610233045
Carora,10.1755,-70.0827,79.79,59,66,9.8,VE,1610233136
San Luis Río Colorado,32.4631,-114.7767,69.8,12,1,16.11,MX,1610233087
Craig,40.5153,-107.5464,19.4,73,75,8.05,US,1610233137
Rolla,37.9514,-91.7713,30.0,74,90,4.61,US,1610233138
Rāmhormoz,31.28,49.6035,52.61,42,0,1.61,IR,1610233138
Umm Kaddadah,13.6017,26.6876,64.69,26,4,13.31,SD,1610233139
Dhidhdhoo,6.8833,73.1,82.04,75,91,9.95,MV,1610233139
Nicoya,10.1483,-85.452,86.0,54,20,20.71,CR,1610233140
Ampanihy,-24.7,44.75,76.68,76,0,2.57,MG,1610233140
Rundu,-17.9333,19.7667,69.49,93,89,2.91,NA,1610233141
La Santisima Trinidad,-14.8333,-64.9,91.4,55,20,9.22,BO,1610233141
Acaraú,-2.8856,-40.12,79.95,78,66,15.95,BR,1610233037
Ciriè,45.2351,7.5988,35.01,69,40,4.61,IT,1610233142
Borogontsy,62.6683,131.1683,-35.63,82,100,2.82,RU,1610233142
Boguchany,58.3814,97.4531,-1.28,90,100,7.45,RU,1610233143
São Félix do Xingu,-6.6447,-51.995,78.85,75,78,2.37,BR,1610233143
Vaasa,63.096,21.6158,19.99,93,0,4.61,FI,1610233018
Swan Hill,-35.3378,143.5544,86.4,20,21,3.11,AU,1610233144
Deputatsky,69.3,139.9,-23.37,88,99,2.37,RU,1610233145
Abū Zabad,12.35,29.25,66.33,24,61,12.84,SD,1610233145
Ingham,42.6,-84.3833,32.0,74,1,3.44,US,1610233146
Nagapattinam,10.7667,79.8333,76.26,88,100,9.35,IN,1610232929
Cortez,37.3489,-108.5859,37.99,44,1,8.05,US,1610233147
Charters Towers,-20.1,146.2667,73.35,84,94,13.2,AU,1610233147
Mehamn,71.0357,27.8492,16.74,92,34,15.39,NO,1610233147
Gunzenhausen,49.1,10.75,28.99,100,90,4.61,DE,1610233148
Les Cayes,18.2,-73.75,76.32,78,50,2.39,HT,1610233148
Naze,28.3667,129.4833,50.0,71,75,9.22,JP,1610233149
Nsanje,-16.92,35.262,75.34,93,100,2.8,MW,1610233150
Nishihara,26.1842,127.7558,55.4,67,75,21.85,JP,1610233150
Tangier,35.7806,-5.8137,48.2,66,40,17.27,MA,1610233150
Bull Savanna,17.8868,-77.5902,74.62,84,89,5.26,JM,1610233151
Bogalusa,30.791,-89.8487,48.2,49,1,9.22,US,1610233151
Puerto Madryn,-42.7692,-65.0385,84.22,14,17,29.35,AR,1610233152
